name,bat86,hits86,hRuns86,runs86,Runbat86,walk86,years
Daryl_Boston,199,53,5,29,22,21,3
Darnell_Coles,521,142,20,67,86,45,4
Dave_Collins,419,113,1,44,27,44,12
Dave_Concepcion,311,81,3,42,30,26,17
Darren_Daulton,138,31,8,18,21,38,3
Doug_DeCinces,512,131,26,69,96,52,14
Darrell_Evans,507,122,29,78,85,91,18
Dwight_Evans,529,137,26,86,97,97,15
Damaso_Garcia,424,119,6,57,46,13,9
Dan_Gladden,351,97,4,55,29,39,4
Danny_Heep,195,55,5,24,33,30,8
Dave_Henderson,388,103,15,59,47,39,6
Donnie_Hill,339,96,4,37,29,23,4
Dave_Kingman,561,118,35,70,94,33,16
Davey_Lopes,255,70,7,49,35,43,15
Don_Mattingly,677,238,31,117,113,53,5
Darryl_Motley,227,46,7,23,20,12,5
Dale_Murphy,614,163,29,89,83,75,11
Dwayne_Murphy,329,83,9,50,39,56,9
Dave_Parker,637,174,31,89,116,56,14
Dan_Pasqua,280,82,16,44,45,47,2
Darrell_Porter,155,41,12,21,29,22,16
Dick_Schofield,458,114,13,67,57,48,4
Don_Slaught,314,83,13,39,46,16,5
Darryl_Strawberry,475,123,27,76,93,72,4
Dale_Sveum,317,78,7,35,35,32,1
Danny_Tartabull,511,138,25,76,96,61,3
Dickie_Thon,278,69,3,24,21,29,8
Denny_Walling,382,119,13,54,58,36,12
Dave_Winfield,565,148,24,90,104,77,14
Enos_Cabell,277,71,2,27,29,14,15
Eric_Davis,415,115,27,97,71,68,3
Eddie_Milner,424,110,15,70,47,36,7
Eddie_Murray,495,151,17,61,84,78,10
Ernest_Riles,524,132,9,69,47,54,2
Ed_Romero,233,49,2,41,23,18,8
Ernie_Whitt,395,106,16,48,56,35,10
Fred_Lynn,397,114,23,67,67,53,13
Floyd_Rayford,210,37,8,15,19,15,6
Franklin_Stubbs,420,95,23,55,58,37,3
Frank_White,566,154,22,76,84,43,14
George_Bell,641,198,31,101,108,41,5
Glenn_Braggs,215,51,4,19,18,11,1
George_Brett,441,128,16,70,73,80,14
Greg_Brock,325,76,16,33,52,37,5
Gary_Carter,490,125,24,81,105,62,13
Glenn_Davis,574,152,31,91,101,64,3
George_Foster,284,64,14,30,42,24,18
Gary_Gaetti,596,171,34,91,108,52,6
Greg_Gagne,472,118,12,63,54,30,4
George_Hendrick,283,77,14,45,47,26,16
Glenn_Hubbard,408,94,4,42,36,66,9
Garth_Iorg,327,85,3,30,44,20,8
Gary_Matthews,370,96,21,49,46,60,15
Graig_Nettles,354,77,16,36,55,41,20
Gary_Pettis,539,139,5,93,58,69,5
Gary_Redus,340,84,11,62,33,47,5
Garry_Templeton,510,126,2,42,44,35,11
Gorman_Thomas,315,59,16,45,36,58,13
Greg_Walker,282,78,13,37,51,29,5
Gary_Ward,380,120,5,54,51,31,8
Glenn_Wilson,584,158,15,70,84,42,5
Harold_Baines,570,169,21,72,88,38,7
Hubie_Brooks,306,104,14,50,58,25,7
Howard_Johnson,220,54,10,30,39,31,5
Hal_McRae,278,70,7,22,37,18,18
Harold_Reynolds,445,99,1,46,24,29,4
Harry_Spilman,143,39,5,18,30,15,9
Herm_Winningham,185,40,4,23,11,18,3
Jesse_Barfield,589,170,40,107,108,69,6
Juan_Beniquez,343,103,6,48,36,40,15
Juan_Bonilla,284,69,1,33,18,25,5
John_Cangelosi,438,103,2,65,32,71,2
Jose_Canseco,600,144,33,85,117,65,2
Joe_Carter,663,200,29,108,121,32,4
Jack_Clark,232,55,9,34,23,45,12
Jose_Cruz,479,133,10,48,72,55,17
Julio_Cruz,209,45,0,38,19,42,10
Jody_Davis,528,132,21,61,74,41,6
Jim_Dwyer,160,39,8,18,31,22,14
Julio_Franco,599,183,10,80,74,32,5
Jim_Gantner,497,136,7,58,38,26,11
Johnny_Grubb,210,70,13,32,51,28,15
Jerry_Hairston,225,61,5,32,26,26,11
Jack_Howell,151,41,4,26,21,19,2
John_Kruk,278,86,4,33,38,45,1
Jeffrey_Leonard,341,95,6,48,42,20,10
Jim_Morrison,537,147,23,58,88,47,10
John_Moses,399,102,3,56,34,34,5
Jerry_Mumphrey,309,94,5,37,32,26,13
Joe_Orsulak,401,100,2,60,19,28,4
Jorge_Orta,336,93,9,35,46,23,15
Jim_Presley,616,163,27,83,107,32,3
Jamie_Quirk,219,47,8,24,26,17,12
Johnny_Ray,579,174,7,67,78,58,6
Jeff_Reed,165,39,2,13,9,16,3
Jim_Rice,618,200,20,98,110,62,13
Jerry_Royster,257,66,5,31,26,32,14
John_Russell,315,76,13,35,60,25,3
Juan_Samuel,591,157,16,90,78,26,4
John_Shelby,404,92,11,54,49,18,6
Joel_Skinner,315,73,5,23,37,16,4
Jeff_Stone,249,69,6,32,19,20,4
Jim_Sundberg,429,91,12,41,42,57,13
Jim_Traber,212,54,13,28,44,18,2
Jose_Uribe,453,101,3,46,43,61,3
Jerry_Willard,161,43,4,17,26,22,3
Joel_Youngblood,184,47,5,20,28,18,11
Kevin_Bass,591,184,20,83,79,38,5
Kal_Daniels,181,58,6,34,23,22,1
Kirk_Gibson,441,118,28,84,86,68,8
Ken_Griffey,490,150,21,69,58,35,14
Keith_Hernandez,551,171,13,94,83,94,13
Kent_Hrbek,550,147,29,85,91,71,6
Ken_Landreaux,283,74,4,34,29,22,10
Kevin_McReynolds,560,161,26,89,96,66,4
Kevin_Mitchell,328,91,12,51,43,33,2
Keith_Moreland,586,159,12,72,79,53,9
Ken_Oberkfell,503,136,5,62,48,83,10
Ken_Phelps,344,85,24,69,64,88,7
Kirby_Puckett,680,223,31,119,96,34,3
Kurt_Stillwell,279,64,0,31,26,30,1
Leon_Durham,484,127,20,66,65,67,7
Len_Dykstra,431,127,8,77,45,58,2
Larry_Herndon,283,70,8,33,37,27,12
Lee_Lacy,491,141,11,77,47,37,15
Len_Matuszek,199,52,9,26,28,21,6
Lloyd_Moseby,589,149,21,89,86,64,7
Lance_Parrish,327,84,22,53,62,38,10
Larry_Parrish,464,128,28,67,94,52,13
Luis_Rivera,166,34,0,20,13,17,1
Larry_Sheets,338,92,18,42,60,21,3
Lonnie_Smith,508,146,8,80,44,46,9
Lou_Whitaker,584,157,20,95,73,63,10
Mike_Aldrete,216,54,2,27,25,33,1
Marty_Barrett,625,179,4,94,60,65,5
Mike_Brown,243,53,4,18,26,27,4
Mike_Davis,489,131,19,77,55,34,7
Mike_Diaz,209,56,12,22,36,19,2
Mariano_Duncan,407,93,8,47,30,30,2
Mike_Easler,490,148,14,64,78,49,13
Mike_Fitzgerald,209,59,6,20,37,27,4
Mel_Hall,442,131,18,68,77,33,6
Mickey_Hatcher,317,88,3,40,32,19,8
Mike_Heath,288,65,8,30,36,27,9
Mike_Kingery,209,54,3,25,14,12,1
Mike_LaValliere,303,71,3,18,30,36,3
Mike_Marshall,330,77,19,47,53,27,6
Mike_Pagliarulo,504,120,28,71,71,54,3
Mark_Salas,258,60,8,28,33,18,3
Mike_Schmidt,20,1,0,0,0,0,2
Mike_Scioscia,374,94,5,36,26,62,7
Mickey_Tettleton,211,43,10,26,35,39,3
Milt_Thompson,299,75,6,38,23,26,3
Mitch_Webster,576,167,8,89,49,57,4
Mookie_Wilson,381,110,9,61,45,32,7
Marvell_Wynne,288,76,7,34,37,15,4
Mike_Young,369,93,9,43,42,49,5
Nick_Esasky,330,76,12,35,41,47,4
Ozzie_Guillen,547,137,2,58,47,12,2
Oddibe_McDowell,572,152,18,105,49,65,2
Omar_Moreno,359,84,4,46,27,21,12
Ozzie_Smith,514,144,0,67,54,79,9
Ozzie_Virgil,359,80,15,45,48,63,7
Phil_Bradley,526,163,12,88,50,77,4
Phil_Garner,313,83,9,43,41,30,14
Pete_Incaviglia,540,135,30,82,88,55,1
Paul_Molitor,437,123,9,62,55,40,9
Pete_O'Brien,551,160,23,86,90,87,5
Pete_Rose,237,52,0,15,25,30,24
Pat_Sheridan,236,56,6,41,19,21,5
Pat_Tabler,473,154,6,61,48,29,6
Rafael_Belliard,309,72,0,33,31,26,5
Rick_Burleson,271,77,5,35,29,33,12
Randy_Bush,357,96,7,50,45,39,5
Rick_Cerone,216,56,4,22,18,15,12
Ron_Cey,256,70,13,42,36,44,16
Rob_Deer,466,108,33,75,86,72,3
Rick_Dempsey,327,68,13,42,29,45,18
Rich_Gedman,462,119,16,49,65,37,7
Ron_Hassey,341,110,9,45,49,46,9
Rickey_Henderson,608,160,28,130,74,89,8
Reggie_Jackson,419,101,18,65,58,92,20
Ricky_Jones,33,6,0,2,4,7,1
Ron_Kittle,376,82,21,42,60,35,5
Ray_Knight,486,145,11,51,76,40,11
Randy_Kutcher,186,44,7,28,16,11,1
Rudy_Law,307,80,1,42,36,29,7
Rick_Leach,246,76,5,35,39,13,6
Rick_Manning,205,52,8,31,27,17,12
Rance_Mulliniks,348,90,11,50,45,43,10
Ron_Oester,523,135,8,52,44,52,9
Rey_Quinones,312,68,2,32,22,24,1
Rafael_Ramirez,496,119,8,57,33,21,7
Ronn_Reynolds,126,27,3,8,10,5,4
Ron_Roenicke,275,68,5,42,42,61,6
Ryne_Sandberg,627,178,14,68,76,46,6
Rafael_Santana,394,86,1,38,28,36,4
Rick_Schu,208,57,8,32,25,18,3
Ruben_Sierra,382,101,16,50,55,22,1
Roy_Smalley,459,113,20,59,57,68,12
Robby_Thompson,549,149,7,73,47,42,1
Rob_Wilfong,288,63,3,25,33,16,10
Reggie_Williams,303,84,4,35,32,23,2
Robin_Yount,522,163,9,82,46,62,13
Steve_Balboni,512,117,29,54,88,43,6
Scott_Bradley,220,66,5,20,28,13,3
Sid_Bream,522,140,16,73,77,60,4
Steve_Buechele,461,112,18,54,54,35,2
Shawon_Dunston,581,145,17,66,68,21,2
Scott_Fletcher,530,159,3,82,50,47,6
Steve_Garvey,557,142,21,58,81,23,18
Steve_Jeltz,439,96,0,44,36,65,4
Steve_Lombardozzi,453,103,8,53,33,52,2
Spike_Owen,528,122,1,67,45,51,4
Steve_Sax,633,210,6,91,56,59,6
Tony_Armas,16,2,0,1,0,0,2
Tony_Bernazard,562,169,17,88,73,53,8
Tom_Brookens,281,76,3,42,25,20,8
Tom_Brunansky,593,152,23,69,75,53,6
Tony_Fernandez,687,213,10,91,65,27,4
Tim_Flannery,368,103,3,48,28,54,8
Tom_Foley,263,70,1,26,23,30,4
Tony_Gwynn,642,211,14,107,59,52,5
Terry_Harper,265,68,8,26,30,29,7
Toby_Harrah,289,63,7,36,41,44,17
Tommy_Herr,559,141,2,48,61,73,8
Tim_Hulett,520,120,17,53,44,21,4
Terry_Kennedy,19,4,1,2,3,1,1
Tito_Landrum,205,43,2,24,17,20,7
Tim_Laudner,193,47,10,21,29,24,6
Tom_O'Malley,181,46,1,19,18,17,5
Tom_Paciorek,213,61,4,17,22,3,17
Tony_Pena,510,147,10,56,52,53,7
Terry_Pendleton,578,138,1,56,59,34,3
Tony_Perez,200,51,2,14,29,25,23
Tony_Phillips,441,113,5,76,52,76,5
Terry_Puhl,172,42,3,17,14,15,10
Tim_Raines,580,194,9,91,62,78,8
Ted_Simmons,127,32,4,14,25,12,19
Tim_Teufel,279,69,4,35,31,32,4
Tim_Wallach,480,112,18,50,71,44,7
Vince_Coleman,600,139,0,94,29,60,2
Von_Hayes,610,186,19,107,98,74,6
Vance_Law,360,81,5,37,44,37,7
Wally_Backman,387,124,1,67,27,36,7
Wade_Boggs,580,207,8,107,71,105,5
Will_Clark,408,117,11,66,41,34,1
Wally_Joyner,593,172,22,82,100,57,1
Wayne_Krenchicki,221,53,2,21,23,22,8
Willie_McGee,497,127,7,65,48,37,5
Willie_Randolph,492,136,5,76,50,94,12
Wayne_Tolleson,475,126,3,61,43,52,6
Willie_Upshaw,573,144,9,85,60,78,8
Willie_Wilson,631,170,9,77,44,31,11
Andy_Allanson,293,66,1,30,29,14,1
Alan_Ashby,315,81,7,24,38,39,14
Alvin_Davis,479,130,18,66,72,76,3
Andre_Dawson,496,141,20,65,78,37,11
Andres_Galarraga,321,87,10,39,42,30,2
Alfredo_Griffin,594,169,4,74,51,35,11
Al_Newman,185,37,1,23,8,21,2
Argenis_Salazar,298,73,0,24,24,7,3
Andres_Thomas,323,81,6,26,32,8,2
Andre_Thornton,401,92,17,49,66,65,13
Alan_Trammell,574,159,21,107,75,59,10
Alex_Trevino,202,53,4,31,26,27,9
Andy_Van_Slyke,418,113,13,48,61,47,4
Alan_Wiggins,239,60,0,30,11,22,6
Bill_Almon,196,43,7,29,27,30,13
Billy_Beane,183,39,3,20,15,11,3
Buddy_Bell,568,158,20,89,75,73,15
Buddy_Biancalana,190,46,2,24,8,15,5
Bruce_Bochte,407,104,6,57,43,65,12
Bruce_Bochy,127,32,8,16,22,14,8
Barry_Bonds,413,92,16,72,48,65,1
Bobby_Bonilla,426,109,3,55,43,62,1
Bob_Boone,22,10,1,4,2,1,6
Bob_Brenly,472,116,16,60,62,74,6
Bill_Buckner,629,168,18,73,102,40,18
Brett_Butler,587,163,4,92,51,70,6
Bob_Dernier,324,73,4,32,18,22,7
Bo_Diaz,474,129,10,50,56,40,10
Bill_Doran,550,152,6,92,37,81,5
Brian_Downing,513,137,20,90,95,90,14
Bobby_Grich,313,84,9,42,30,39,17
Billy_Hatcher,419,108,6,55,36,22,3
Bob_Horner,517,141,27,70,87,52,9
Brook_Jacoby,583,168,17,83,80,56,5
Bob_Kearney,204,49,6,23,25,12,7
Bill_Madlock,379,106,10,38,60,30,14
Bobby_Meacham,161,36,0,19,10,17,4
Bob_Melvin,268,60,5,24,25,15,2
Ben_Oglivie,346,98,5,31,53,30,16
Bip_Roberts,241,61,1,34,12,14,1
Billy_Jo_Robidoux,181,41,1,15,21,33,2
Bill_Russell,216,54,0,21,18,15,18
Billy_Sample,200,57,6,23,14,14,9
Bill_Schroeder,217,46,7,32,19,9,4
Butch_Wynegar,194,40,7,19,29,30,11
Chris_Bando,254,68,2,28,26,22,6
Chris_Brown,416,132,7,57,49,33,3
Carmen_Castillo,205,57,8,34,32,9,5
Cecil_Cooper,542,140,12,46,75,41,16
Chili_Davis,526,146,13,71,70,84,6
Carlton_Fisk,457,101,14,42,63,22,17
Curt_Ford,214,53,2,30,29,23,2
Cliff_Johnson,19,7,0,1,2,1,4
Carney_Lansford,591,168,19,80,72,39,9
Chet_Lemon,403,101,12,45,53,39,12
Candy_Maldonado,405,102,18,49,85,20,6
Carmelo_Martinez,244,58,9,28,25,35,4
Charlie_Moore,235,61,3,24,39,21,14
Craig_Reynolds,313,78,6,32,41,12,12
Cal_Ripken,627,177,25,98,81,70,6
Cory_Snyder,416,113,24,58,69,16,1
Chris_Speier,155,44,6,21,23,15,16
Curt_Wilkerson,236,56,0,27,15,11,4
Dave_Anderson,216,53,1,31,15,22,4
Doug_Baker,24,3,0,1,0,2,3
Don_Baylor,585,139,31,93,94,62,17
Dann_Bilardello,191,37,4,12,17,14,4
Daryl_Boston,199,53,5,29,22,21,3
Darnell_Coles,521,142,20,67,86,45,4
Dave_Collins,419,113,1,44,27,44,12
Dave_Concepcion,311,81,3,42,30,26,17
Darren_Daulton,138,31,8,18,21,38,3
Doug_DeCinces,512,131,26,69,96,52,14
Darrell_Evans,507,122,29,78,85,91,18
Dwight_Evans,529,137,26,86,97,97,15
Damaso_Garcia,424,119,6,57,46,13,9
Dan_Gladden,351,97,4,55,29,39,4
Danny_Heep,195,55,5,24,33,30,8
Dave_Henderson,388,103,15,59,47,39,6
Donnie_Hill,339,96,4,37,29,23,4
Dave_Kingman,561,118,35,70,94,33,16
Davey_Lopes,255,70,7,49,35,43,15
Don_Mattingly,677,238,31,117,113,53,5
Darryl_Motley,227,46,7,23,20,12,5
Dale_Murphy,614,163,29,89,83,75,11
Dwayne_Murphy,329,83,9,50,39,56,9
Dave_Parker,637,174,31,89,116,56,14
Dan_Pasqua,280,82,16,44,45,47,2
Darrell_Porter,155,41,12,21,29,22,16
Dick_Schofield,458,114,13,67,57,48,4
Don_Slaught,314,83,13,39,46,16,5
Darryl_Strawberry,475,123,27,76,93,72,4
Dale_Sveum,317,78,7,35,35,32,1
Danny_Tartabull,511,138,25,76,96,61,3
Dickie_Thon,278,69,3,24,21,29,8
Denny_Walling,382,119,13,54,58,36,12
Dave_Winfield,565,148,24,90,104,77,14
Enos_Cabell,277,71,2,27,29,14,15
Eric_Davis,415,115,27,97,71,68,3
Eddie_Milner,424,110,15,70,47,36,7
Eddie_Murray,495,151,17,61,84,78,10
Ernest_Riles,524,132,9,69,47,54,2
Ed_Romero,233,49,2,41,23,18,8
Ernie_Whitt,395,106,16,48,56,35,10
Fred_Lynn,397,114,23,67,67,53,13
Floyd_Rayford,210,37,8,15,19,15,6
Franklin_Stubbs,420,95,23,55,58,37,3
Frank_White,566,154,22,76,84,43,14
George_Bell,641,198,31,101,108,41,5
Glenn_Braggs,215,51,4,19,18,11,1
George_Brett,441,128,16,70,73,80,14
Greg_Brock,325,76,16,33,52,37,5
Gary_Carter,490,125,24,81,105,62,13
Glenn_Davis,574,152,31,91,101,64,3
George_Foster,284,64,14,30,42,24,18
Gary_Gaetti,596,171,34,91,108,52,6
Greg_Gagne,472,118,12,63,54,30,4
George_Hendrick,283,77,14,45,47,26,16
Glenn_Hubbard,408,94,4,42,36,66,9
Garth_Iorg,327,85,3,30,44,20,8
Gary_Matthews,370,96,21,49,46,60,15
Graig_Nettles,354,77,16,36,55,41,20
Gary_Pettis,539,139,5,93,58,69,5
Gary_Redus,340,84,11,62,33,47,5
Garry_Templeton,510,126,2,42,44,35,11
Gorman_Thomas,315,59,16,45,36,58,13
Greg_Walker,282,78,13,37,51,29,5
Gary_Ward,380,120,5,54,51,31,8
Glenn_Wilson,584,158,15,70,84,42,5
Harold_Baines,570,169,21,72,88,38,7
Hubie_Brooks,306,104,14,50,58,25,7
Howard_Johnson,220,54,10,30,39,31,5
Hal_McRae,278,70,7,22,37,18,18
Harold_Reynolds,445,99,1,46,24,29,4
Harry_Spilman,143,39,5,18,30,15,9
Herm_Winningham,185,40,4,23,11,18,3
Jesse_Barfield,589,170,40,107,108,69,6
Juan_Beniquez,343,103,6,48,36,40,15
Juan_Bonilla,284,69,1,33,18,25,5
John_Cangelosi,438,103,2,65,32,71,2
Jose_Canseco,600,144,33,85,117,65,2
Joe_Carter,663,200,29,108,121,32,4
Jack_Clark,232,55,9,34,23,45,12
Jose_Cruz,479,133,10,48,72,55,17
Julio_Cruz,209,45,0,38,19,42,10
Jody_Davis,528,132,21,61,74,41,6
Jim_Dwyer,160,39,8,18,31,22,14
Julio_Franco,599,183,10,80,74,32,5
Jim_Gantner,497,136,7,58,38,26,11
Johnny_Grubb,210,70,13,32,51,28,15
Jerry_Hairston,225,61,5,32,26,26,11
Jack_Howell,151,41,4,26,21,19,2
John_Kruk,278,86,4,33,38,45,1
Jeffrey_Leonard,341,95,6,48,42,20,10
Jim_Morrison,537,147,23,58,88,47,10
John_Moses,399,102,3,56,34,34,5
Jerry_Mumphrey,309,94,5,37,32,26,13
Joe_Orsulak,401,100,2,60,19,28,4
Jorge_Orta,336,93,9,35,46,23,15
Jim_Presley,616,163,27,83,107,32,3
Jamie_Quirk,219,47,8,24,26,17,12
Johnny_Ray,579,174,7,67,78,58,6
Jeff_Reed,165,39,2,13,9,16,3
Jim_Rice,618,200,20,98,110,62,13
Jerry_Royster,257,66,5,31,26,32,14
John_Russell,315,76,13,35,60,25,3
Juan_Samuel,591,157,16,90,78,26,4
John_Shelby,404,92,11,54,49,18,6
Joel_Skinner,315,73,5,23,37,16,4
Jeff_Stone,249,69,6,32,19,20,4
Jim_Sundberg,429,91,12,41,42,57,13
Jim_Traber,212,54,13,28,44,18,2
Jose_Uribe,453,101,3,46,43,61,3
Jerry_Willard,161,43,4,17,26,22,3
Joel_Youngblood,184,47,5,20,28,18,11
Kevin_Bass,591,184,20,83,79,38,5
Kal_Daniels,181,58,6,34,23,22,1
Kirk_Gibson,441,118,28,84,86,68,8
Ken_Griffey,490,150,21,69,58,35,14
Keith_Hernandez,551,171,13,94,83,94,13
Kent_Hrbek,550,147,29,85,91,71,6
Ken_Landreaux,283,74,4,34,29,22,10
Kevin_McReynolds,560,161,26,89,96,66,4
Kevin_Mitchell,328,91,12,51,43,33,2
Keith_Moreland,586,159,12,72,79,53,9
Ken_Oberkfell,503,136,5,62,48,83,10
Ken_Phelps,344,85,24,69,64,88,7
Kirby_Puckett,680,223,31,119,96,34,3
Kurt_Stillwell,279,64,0,31,26,30,1
Leon_Durham,484,127,20,66,65,67,7
Len_Dykstra,431,127,8,77,45,58,2
Larry_Herndon,283,70,8,33,37,27,12
Lee_Lacy,491,141,11,77,47,37,15
Len_Matuszek,199,52,9,26,28,21,6
Lloyd_Moseby,589,149,21,89,86,64,7
Lance_Parrish,327,84,22,53,62,38,10
Larry_Parrish,464,128,28,67,94,52,13
Luis_Rivera,166,34,0,20,13,17,1
Larry_Sheets,338,92,18,42,60,21,3
Lonnie_Smith,508,146,8,80,44,46,9
Lou_Whitaker,584,157,20,95,73,63,10
Mike_Aldrete,216,54,2,27,25,33,1
Marty_Barrett,625,179,4,94,60,65,5
Mike_Brown,243,53,4,18,26,27,4
Mike_Davis,489,131,19,77,55,34,7
Mike_Diaz,209,56,12,22,36,19,2
Mariano_Duncan,407,93,8,47,30,30,2
Mike_Easler,490,148,14,64,78,49,13
Mike_Fitzgerald,209,59,6,20,37,27,4
Mel_Hall,442,131,18,68,77,33,6
Mickey_Hatcher,317,88,3,40,32,19,8
Mike_Heath,288,65,8,30,36,27,9
Mike_Kingery,209,54,3,25,14,12,1
Mike_LaValliere,303,71,3,18,30,36,3
Mike_Marshall,330,77,19,47,53,27,6
Mike_Pagliarulo,504,120,28,71,71,54,3
Mark_Salas,258,60,8,28,33,18,3
Mike_Schmidt,20,1,0,0,0,0,2
Mike_Scioscia,374,94,5,36,26,62,7
Mickey_Tettleton,211,43,10,26,35,39,3
Milt_Thompson,299,75,6,38,23,26,3
Mitch_Webster,576,167,8,89,49,57,4
Mookie_Wilson,381,110,9,61,45,32,7
Marvell_Wynne,288,76,7,34,37,15,4
Mike_Young,369,93,9,43,42,49,5
Nick_Esasky,330,76,12,35,41,47,4
Ozzie_Guillen,547,137,2,58,47,12,2
Oddibe_McDowell,572,152,18,105,49,65,2
Omar_Moreno,359,84,4,46,27,21,12
Ozzie_Smith,514,144,0,67,54,79,9
Ozzie_Virgil,359,80,15,45,48,63,7
Phil_Bradley,526,163,12,88,50,77,4
Phil_Garner,313,83,9,43,41,30,14
Pete_Incaviglia,540,135,30,82,88,55,1
Paul_Molitor,437,123,9,62,55,40,9
Pete_O'Brien,551,160,23,86,90,87,5
Pete_Rose,237,52,0,15,25,30,24
Pat_Sheridan,236,56,6,41,19,21,5
Pat_Tabler,473,154,6,61,48,29,6
Rafael_Belliard,309,72,0,33,31,26,5
Rick_Burleson,271,77,5,35,29,33,12
Randy_Bush,357,96,7,50,45,39,5
Rick_Cerone,216,56,4,22,18,15,12
Ron_Cey,256,70,13,42,36,44,16
Rob_Deer,466,108,33,75,86,72,3
Rick_Dempsey,327,68,13,42,29,45,18
Rich_Gedman,462,119,16,49,65,37,7
Ron_Hassey,341,110,9,45,49,46,9
Rickey_Henderson,608,160,28,130,74,89,8
Reggie_Jackson,419,101,18,65,58,92,20
Ricky_Jones,33,6,0,2,4,7,1
Ron_Kittle,376,82,21,42,60,35,5
Ray_Knight,486,145,11,51,76,40,11
Randy_Kutcher,186,44,7,28,16,11,1
Rudy_Law,307,80,1,42,36,29,7
Rick_Leach,246,76,5,35,39,13,6
Rick_Manning,205,52,8,31,27,17,12
Rance_Mulliniks,348,90,11,50,45,43,10
Ron_Oester,523,135,8,52,44,52,9
Rey_Quinones,312,68,2,32,22,24,1
Rafael_Ramirez,496,119,8,57,33,21,7
Ronn_Reynolds,126,27,3,8,10,5,4
Ron_Roenicke,275,68,5,42,42,61,6
Ryne_Sandberg,627,178,14,68,76,46,6
Rafael_Santana,394,86,1,38,28,36,4
Rick_Schu,208,57,8,32,25,18,3
Ruben_Sierra,382,101,16,50,55,22,1
Roy_Smalley,459,113,20,59,57,68,12
Robby_Thompson,549,149,7,73,47,42,1
Rob_Wilfong,288,63,3,25,33,16,10
Reggie_Williams,303,84,4,35,32,23,2
Robin_Yount,522,163,9,82,46,62,13
Steve_Balboni,512,117,29,54,88,43,6
Scott_Bradley,220,66,5,20,28,13,3
Sid_Bream,522,140,16,73,77,60,4
Steve_Buechele,461,112,18,54,54,35,2
Shawon_Dunston,581,145,17,66,68,21,2
Scott_Fletcher,530,159,3,82,50,47,6
Steve_Garvey,557,142,21,58,81,23,18
