name,batt867,league86E,team86E
Dale_Sveum,317,A,Mil.
Danny_Tartabull,511,A,Sea.
Dickie_Thon,278,N,Hou.
Denny_Walling,382,N,Hou.
Dave_Winfield,565,A,N.Y.
Enos_Cabell,277,N,L.A.
Eric_Davis,415,N,Cin.
Eddie_Milner,424,N,Cin.
Eddie_Murray,495,A,Bal.
Ernest_Riles,524,A,Mil.
Ed_Romero,233,A,Bos.
Ernie_Whitt,395,A,Tor.
Fred_Lynn,397,A,Bal.
Floyd_Rayford,210,A,Bal.
Franklin_Stubbs,420,N,L.A.
Frank_White,566,A,K.C.
George_Bell,641,A,Tor.
Glenn_Braggs,215,A,Mil.
George_Brett,441,A,K.C.
Greg_Brock,325,N,L.A.
Gary_Carter,490,N,N.Y.
Glenn_Davis,574,N,Hou.
George_Foster,284,N,N.Y.
Gary_Gaetti,596,A,Min.
Greg_Gagne,472,A,Min.
George_Hendrick,283,A,Cal.
Glenn_Hubbard,408,N,Atl.
Garth_Iorg,327,A,Tor.
Gary_Matthews,370,N,Chi.
Graig_Nettles,354,N,S.D.
Gary_Pettis,539,A,Cal.
Gary_Redus,340,N,Phi.
Garry_Templeton,510,N,S.D.
Gorman_Thomas,315,A,Sea.
Greg_Walker,282,A,Chi.
Gary_Ward,380,A,Tex.
Glenn_Wilson,584,N,Phi.
Harold_Baines,570,A,Chi.
Hubie_Brooks,306,N,Mon.
Howard_Johnson,220,N,N.Y.
Hal_McRae,278,A,K.C.
Harold_Reynolds,445,A,Sea.
Harry_Spilman,143,N,S.F.
Herm_Winningham,185,N,Mon.
Jesse_Barfield,589,A,Tor.
Juan_Beniquez,343,A,Bal.
Juan_Bonilla,284,A,Bal.
John_Cangelosi,438,A,Chi.
Jose_Canseco,600,A,Oak.
Joe_Carter,663,A,Cle.
Jack_Clark,232,N,St.L.
Jose_Cruz,479,N,Hou.
Julio_Cruz,209,A,Chi.
Jody_Davis,528,N,Chi.
Jim_Dwyer,160,A,Bal.
Julio_Franco,599,A,Cle.
Jim_Gantner,497,A,Mil.
Johnny_Grubb,210,A,Det.
Jerry_Hairston,225,A,Chi.
Jack_Howell,151,A,Cal.
John_Kruk,278,N,S.D.
Jeffrey_Leonard,341,N,S.F.
Jim_Morrison,537,N,Pit.
John_Moses,399,A,Sea.
Jerry_Mumphrey,309,N,Chi.
Joe_Orsulak,401,N,Pit.
Jorge_Orta,336,A,K.C.
Jim_Presley,616,A,Sea.
Jamie_Quirk,219,A,K.C.
Johnny_Ray,579,N,Pit.
Jeff_Reed,165,A,Min.
Jim_Rice,618,A,Bos.
Jerry_Royster,257,N,S.D.
John_Russell,315,N,Phi.
Juan_Samuel,591,N,Phi.
John_Shelby,404,A,Bal.
Joel_Skinner,315,A,Chi.
Jeff_Stone,249,N,Phi.
Jim_Sundberg,429,A,K.C.
Jim_Traber,212,A,Bal.
Jose_Uribe,453,N,S.F.
Jerry_Willard,161,A,Oak.
Joel_Youngblood,184,N,S.F.
Kevin_Bass,591,N,Hou.
Kal_Daniels,181,N,Cin.
Kirk_Gibson,441,A,Det.
Ken_Griffey,490,A,N.Y.
Keith_Hernandez,551,N,N.Y.
Kent_Hrbek,550,A,Min.
Ken_Landreaux,283,N,L.A.
Kevin_McReynolds,560,N,S.D.
Kevin_Mitchell,328,N,N.Y.
Keith_Moreland,586,N,Chi.
Ken_Oberkfell,503,N,Atl.
Ken_Phelps,344,A,Sea.
Kirby_Puckett,680,A,Min.
Kurt_Stillwell,279,N,Cin.
Leon_Durham,484,N,Chi.
Len_Dykstra,431,N,N.Y.
Larry_Herndon,283,A,Det.
Lee_Lacy,491,A,Bal.
Len_Matuszek,199,N,L.A.
Lloyd_Moseby,589,A,Tor.
Lance_Parrish,327,A,Det.
Larry_Parrish,464,A,Tex.
Luis_Rivera,166,N,Mon.
Larry_Sheets,338,A,Bal.
Lonnie_Smith,508,A,K.C.
Lou_Whitaker,584,A,Det.
Mike_Aldrete,216,N,S.F.
Marty_Barrett,625,A,Bos.
Mike_Brown,243,N,Pit.
Mike_Davis,489,A,Oak.
Mike_Diaz,209,N,Pit.
Mariano_Duncan,407,N,L.A.
Mike_Easler,490,A,N.Y.
Mike_Fitzgerald,209,N,Mon.
Mel_Hall,442,A,Cle.
Mickey_Hatcher,317,A,Min.
Mike_Heath,288,N,St.L.
Mike_Kingery,209,A,K.C.
Mike_LaValliere,303,N,St.L.
Mike_Marshall,330,N,L.A.
Mike_Pagliarulo,504,A,N.Y.
Mark_Salas,258,A,Min.
Mike_Schmidt,20,N,Phi.
Mike_Scioscia,374,N,L.A.
Mickey_Tettleton,211,A,Oak.
Milt_Thompson,299,N,Phi.
Mitch_Webster,576,N,Mon.
Mookie_Wilson,381,N,N.Y.
Marvell_Wynne,288,N,S.D.
Mike_Young,369,A,Bal.
Nick_Esasky,330,N,Cin.
Ozzie_Guillen,547,A,Chi.
Oddibe_McDowell,572,A,Tex.
Omar_Moreno,359,N,Atl.
Ozzie_Smith,514,N,St.L.
Ozzie_Virgil,359,N,Atl.
Phil_Bradley,526,A,Sea.
Phil_Garner,313,N,Hou.
Pete_Incaviglia,540,A,Tex.
Paul_Molitor,437,A,Mil.
Pete_O'Brien,551,A,Tex.
Pete_Rose,237,N,Cin.
Pat_Sheridan,236,A,Det.
Pat_Tabler,473,A,Cle.
Rafael_Belliard,309,N,Pit.
Rick_Burleson,271,A,Cal.
Randy_Bush,357,A,Min.
Rick_Cerone,216,A,Mil.
Ron_Cey,256,N,Chi.
Rob_Deer,466,A,Mil.
Rick_Dempsey,327,A,Bal.
Rich_Gedman,462,A,Bos.
Ron_Hassey,341,A,N.Y.
Rickey_Henderson,608,A,N.Y.
Reggie_Jackson,419,A,Cal.
Ricky_Jones,33,A,Cal.
Ron_Kittle,376,A,Chi.
Ray_Knight,486,N,N.Y.
Randy_Kutcher,186,N,S.F.
Rudy_Law,307,A,K.C.
Rick_Leach,246,A,Tor.
Rick_Manning,205,A,Mil.
Rance_Mulliniks,348,A,Tor.
Ron_Oester,523,N,Cin.
Rey_Quinones,312,A,Bos.
Rafael_Ramirez,496,N,Atl.
Ronn_Reynolds,126,N,Pit.
Ron_Roenicke,275,N,Phi.
Ryne_Sandberg,627,N,Chi.
Rafael_Santana,394,N,N.Y.
Rick_Schu,208,N,Phi.
Ruben_Sierra,382,A,Tex.
Roy_Smalley,459,A,Min.
Robby_Thompson,549,N,S.F.
Rob_Wilfong,288,A,Cal.
Reggie_Williams,303,N,L.A.
Robin_Yount,522,A,Mil.
Steve_Balboni,512,A,K.C.
Scott_Bradley,220,A,Sea.
Sid_Bream,522,N,Pit.
Steve_Buechele,461,A,Tex.
Shawon_Dunston,581,N,Chi.
Scott_Fletcher,530,A,Tex.
Steve_Garvey,557,N,S.D.
Steve_Jeltz,439,N,Phi.
Steve_Lombardozzi,453,A,Min.
Spike_Owen,528,A,Sea.
Steve_Sax,633,N,L.A.
Tony_Armas,16,A,Bos.
Tony_Bernazard,562,A,Cle.
Tom_Brookens,281,A,Det.
Tom_Brunansky,593,A,Min.
Tony_Fernandez,687,A,Tor.
Tim_Flannery,368,N,S.D.
Tom_Foley,263,N,Mon.
Tony_Gwynn,642,N,S.D.
Terry_Harper,265,N,Atl.
Toby_Harrah,289,A,Tex.
Tommy_Herr,559,N,St.L.
Tim_Hulett,520,A,Chi.
Terry_Kennedy,19,N,S.D.
Tito_Landrum,205,N,St.L.
Tim_Laudner,193,A,Min.
Tom_O'Malley,181,A,Bal.
Tom_Paciorek,213,A,Tex.
Tony_Pena,510,N,Pit.
Terry_Pendleton,578,N,St.L.
Tony_Perez,200,N,Cin.
Tony_Phillips,441,A,Oak.
Terry_Puhl,172,N,Hou.
Tim_Raines,580,N,Mon.
Ted_Simmons,127,N,Atl.
Tim_Teufel,279,N,N.Y.
Tim_Wallach,480,N,Mon.
Vince_Coleman,600,N,St.L.
Von_Hayes,610,N,Phi.
Vance_Law,360,N,Mon.
Wally_Backman,387,N,N.Y.
Wade_Boggs,580,A,Bos.
Will_Clark,408,N,S.F.
Wally_Joyner,593,A,Cal.
Wayne_Krenchicki,221,N,Mon.
Willie_McGee,497,N,St.L.
Willie_Randolph,492,A,N.Y.
Wayne_Tolleson,475,A,Chi.
Willie_Upshaw,573,A,Tor.
Willie_Wilson,631,A,K.C.
