Film,RottenTomatoes,AudienceScore,NumberOfTheatres,BoxOfficeAverage,WorldwideGross,Budget,Profitability,OpeningWeekend,LeadStudio,Story,Genre
Kung Fu Panda 2,82,80,3925,12142,663.02,150,4.4202,47.66,DreamWorks Animation,Rivalry,Animation
Larry Crowne,34,46,2973,4405,52.41,30,1.7469,13.1,Universal,Discovery,Drama
Limitless,69,73,2756,6860,161.85,27,5.9944,18.91,Virgin,Wretched Excess,Thriller
Machine Gun Preacher,29,71,0,0,1.1,30,0.0368,0.05,Lionsgate,Transformation,Action
Margin Call,86,73,0,0,8.87,3.5,2.534,0.56,Independent,Sacrifice,Thriller
Mars Needs Moms,36,43,3117,2218,38.99,150,0.2599,6.91,Disney,Rescue,Animation
Midnight in Paris,93,84,944,6177,148.66,17,8.7447,5.83,Sony,Love,Romance
Mission Impossible 4,93,86,3448,8672,688.78,145,4.7502,29.55,Paramount,Pursuit,Action
Moneyball,95,89,2993,6516,108.1,50,2.162,19.5,Columbia,Underdog,Drama
Monte Carlo,38,50,2473,3014,39.66,20,1.9832,7.45,20th Century Fox,Love,Romance
Mr. Popper's Penguins,47,54,3339,5524,187.36,55,3.4065,18.45,20th Century Fox,Discovery,Comedy
My Week with Marilyn,83,84,247,7174,8.26,10,0.8258,1.75,The Weinstein Company,Love,Drama
Never Back Down 2: The Beatdown,0,44,0,0,0,3,0,8.6,Sony,Rivalry,Action
New Year's Eve,8,48,3505,3714,142.04,56,2.5364,13.01,Warner Bros.,Love,Romance
No Strings Attached,49,57,3018,6512,147.7,25,5.908,19.7,Spyglass Entertainment,Comedy,Comedy
One Day,37,54,1719,2955,55.24,15,3.6827,5.08,Independent,Love,Romance
Our Idiot Brother,68,79,2555,2744,24.82,5,4.9632,7.01,The Weinstein Company,Comedy,Comedy
Paranormal Activity 3,68,58,3321,15829,201.9,5,40.3794,52.57,Independent,Monster Force,Horror
Paul,72,70,2802,4655,97.98,40,2.4496,13.04,Relativity,Comedy,Comedy
Pirates ,34,61,4155,21697,1043.87,250,4.1755,90.15,Disney,Quest,Action
Priest,17,37,2864,5221,78.31,60,1.3051,14.95,Sony,Monster Force,Action
Puss In Boots,83,76,3952,8623,522.26,130,4.0174,34.08,DreamWorks,Quest,Animation
Rango,88,69,3917,9722,245.15,135,1.816,38.08,Paramount,Fish Out Of Water,Animation
Real Steel,58,81,3440,7942,269.81,110,2.4528,27.32,DreamWorks Pictures,Underdog,Action
Red Riding Hood,11,41,3030,4622,89.16,42,2.1229,14.01,Warner Bros,Monster Force,Horror
Red State,57,59,0,0,1.1,4,0.276,0,Independent,Escape,Horror
Rio,71,73,3826,10252,484.63,90,5.3848,39.23,20th Century Fox,Quest,Animation
Rise of the Planet of the Apes,83,87,3648,15024,481.23,93,5.1745,54.81,20th Century Fox,Revenge,Action
Sanctum,30,39,2787,3390,108.6,30,3.62,9.4,Relativity Media,Quest,Action
Scream 4,58,57,3305,5656,97.14,40,2.4284,18.69,Weinstein Company,Monster Force,Horror
Season Of The Witch,10,32,2816,3769,91.6,40,2.29,10.6,Relativity ,Monster Force,Action
Shame,80,80,10,34952,13.96,6.5,2.1477,0.34,Independent,,Drama
Shark Night 3D,16,25,2806,2995,38.7,25,1.5481,8.4,Relativity,Escape,Horror
Sherlock Holmes 2,60,79,3703,10704,521.96,125,4.1757,39.63,Warner Bros,Pursuit,Action
Something Borrowed,0,0,2904,4802,60.18,35,1.7195,13.95,Independent,Love,Romance
Soul Surfer,46,79,2214,4789,44.27,18,2.4593,10.6,Sony,Underdog,Drama
Source Code,92,81,2961,5002,123.28,32,3.8524,14.81,Summit Entertainment,The Riddle,Thriller
Spy Kids: All The Time in the World,22,40,3295,3534,74.08,27,2.7437,11.64,Weinstein Company,Quest,Action
Sucker Punch,23,48,3033,6284,89.79,82,1.095,19.06,Legendary Pictures,Quest,Action
Super 8 ,82,78,3379,10492,259.71,50,5.1943,35.45,Paramount,Monster Force,Horror
