name,bat86,hits86,hRuns86,runs86,Runbat86
Alex_Trevino,202,53,4,31,26
Chris_Bando,254,68,2,28,26
Jerry_Hairston,225,61,5,32,26
Jamie_Quirk,219,47,8,24,26
Jerry_Royster,257,66,5,31,26
Jerry_Willard,161,43,4,17,26
Kurt_Stillwell,279,64,0,31,26
Mike_Brown,243,53,4,18,26
Mike_Scioscia,374,94,5,36,26
Bob_Kearney,204,49,6,23,25
Bob_Melvin,268,60,5,24,25
Carmelo_Martinez,244,58,9,28,25
Mike_Aldrete,216,54,2,27,25
Pete_Rose,237,52,0,15,25
Rick_Schu,208,57,8,32,25
Tom_Brookens,281,76,3,42,25
Ted_Simmons,127,32,4,14,25
Argenis_Salazar,298,73,0,24,24
Harold_Reynolds,445,99,1,46,24
Chris_Speier,155,44,6,21,23
Ed_Romero,233,49,2,41,23
Jack_Clark,232,55,9,34,23
Kal_Daniels,181,58,6,34,23
Milt_Thompson,299,75,6,38,23
Tom_Foley,263,70,1,26,23
Wayne_Krenchicki,221,53,2,21,23
Bruce_Bochy,127,32,8,16,22
Daryl_Boston,199,53,5,29,22
Rey_Quinones,312,68,2,32,22
Tom_Paciorek,213,61,4,17,22
Billy_Jo_Robidoux,181,41,1,15,21
Darren_Daulton,138,31,8,18,21
Dickie_Thon,278,69,3,24,21
Jack_Howell,151,41,4,26,21
Darryl_Motley,227,46,7,23,20
Bill_Schroeder,217,46,7,32,19
Floyd_Rayford,210,37,8,15,19
Julio_Cruz,209,45,0,38,19
Joe_Orsulak,401,100,2,60,19
Jeff_Stone,249,69,6,32,19
Pat_Sheridan,236,56,6,41,19
Bob_Dernier,324,73,4,32,18
Bill_Russell,216,54,0,21,18
Glenn_Braggs,215,51,4,19,18
Juan_Bonilla,284,69,1,33,18
Rick_Cerone,216,56,4,22,18
Tom_O'Malley,181,46,1,19,18
Dann_Bilardello,191,37,4,12,17
Tito_Landrum,205,43,2,24,17
Randy_Kutcher,186,44,7,28,16
Billy_Beane,183,39,3,20,15
Curt_Wilkerson,236,56,0,27,15
Dave_Anderson,216,53,1,31,15
Billy_Sample,200,57,6,23,14
Mike_Kingery,209,54,3,25,14
Terry_Puhl,172,42,3,17,14
Luis_Rivera,166,34,0,20,13
Bip_Roberts,241,61,1,34,12
Alan_Wiggins,239,60,0,30,11
Herm_Winningham,185,40,4,23,11
Bobby_Meacham,161,36,0,19,10
Ronn_Reynolds,126,27,3,8,10
Jeff_Reed,165,39,2,13,9
Al_Newman,185,37,1,23,8
Buddy_Biancalana,190,46,2,24,8
Ricky_Jones,33,6,0,2,4
Terry_Kennedy,19,4,1,2,3
Bob_Boone,22,10,1,4,2
Cliff_Johnson,19,7,0,1,2
Doug_Baker,24,3,0,1,0
Mike_Schmidt,20,1,0,0,0
Tony_Armas,16,2,0,1,0
